customer_id,status
4457,Shipped
1676,Pending
17546,Processing
85,Shipped
9280,Shipped
5998,Cancelled
3733,Pending
16463,Shipped
15427,Delivered
108,Pending
14230,Pending
3443,Processing
9239,Processing
8502,Pending
6313,Processing
17342,Shipped
9315,Pending
10225,Shipped
6258,Pending
45,Cancelled
11991,Pending
16961,Delivered
66,Shipped
6109,Shipped
19997,Delivered
16342,Delivered
6834,Processing
898,Shipped
13845,Processing
9279,Cancelled
3893,Shipped
9987,Processing
15055,Pending
143,Processing
2222,Processing
19427,Pending
616,Cancelled
14635,Shipped
13824,Delivered
9057,Delivered
10655,Delivered
19196,Shipped
3644,Shipped
8513,Pending
5204,Delivered
12153,Delivered
7859,Pending
19921,Pending
10392,Cancelled
13866,Delivered
9268,Shipped
7939,Cancelled
2152,Processing
16106,Pending
10209,Cancelled
2386,Shipped
15728,Shipped
9442,Delivered
18311,Cancelled
1145,Delivered
6365,Pending
112,Cancelled
2547,Pending
14306,Shipped
4035,Shipped
16293,Pending
12969,Processing
14349,Pending
11941,Processing
3611,Delivered
4887,Processing
17319,Cancelled
2138,Shipped
1,Delivered
17685,Shipped
4112,Pending
623,Cancelled
1984,Processing
1618,Processing
3051,Processing
7855,Processing
2872,Cancelled
14691,Processing
16789,Shipped
18698,Processing
14155,Processing
12991,Shipped
15465,Cancelled
2088,Shipped
10995,Cancelled
3485,Pending
389,Cancelled
12159,Pending
14110,Shipped
15861,Delivered
13827,Pending
1886,Cancelled
3997,Pending
3761,Shipped
7214,Shipped
18686,Shipped
6757,Cancelled
2306,Processing
12355,Cancelled
8047,Cancelled
18646,Cancelled
8110,Delivered
13504,Pending
7100,Shipped
17694,Processing
304,Delivered
19755,Shipped
17076,Cancelled
17114,Shipped
9480,Shipped
10305,Processing
3580,Pending
3675,Cancelled
13602,Shipped
9529,Cancelled
5735,Shipped
2306,Delivered
1829,Shipped
15072,Processing
1705,Delivered
18165,Processing
4828,Processing
28,Cancelled
4722,Processing
10993,Pending
11146,Processing
16795,Pending
4349,Cancelled
13960,Delivered
16110,Shipped
1964,Shipped
12465,Pending
6679,Processing
11377,Cancelled
19950,Cancelled
12880,Pending
9052,Cancelled
9933,Processing
9116,Pending
13007,Cancelled
18858,Processing
11644,Shipped
897,Processing
450,Processing
16440,Cancelled
13658,Shipped
7828,Processing
813,Pending
18664,Shipped
19692,Shipped
7051,Pending
19940,Delivered
5821,Processing
560,Cancelled
15055,Shipped
9256,Pending
8156,Shipped
6374,Delivered
3502,Cancelled
7634,Pending
14733,Cancelled
15597,Processing
13609,Pending
8307,Processing
16181,Processing
6935,Cancelled
6051,Delivered
18353,Processing
19444,Processing
5127,Pending
13395,Processing
