name,description,price,stock,category_id
Wood Chair,Praesent blandit. Nam nulla.,26603,14,5
Dining Table,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",36000,23,4
Wood Shelf,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,46412,22,4
Bed Frame,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,29709,9,1
Cabinet,In sagittis dui vel nisl. Duis ac nibh.,27762,45,4
Coffee Table,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",49668,36,5
Wood Lamp,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",35048,4,3
Bench,Morbi a ipsum. Integer a nibh. In quis justo.,49857,15,4
Drawer,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",23259,28,4
Wall Decor,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,46170,35,2
Wood Chair,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",44294,49,1
Dining Table,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",13361,29,4
Wood Shelf,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",36965,45,1
Bed Frame,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",49902,15,5
