order_id,product_id,quantity,price
20235,223,11,49333
21847,757,61,36186
25341,3435,20,41154
22957,2891,22,36269
19971,760,20,34148
23437,3768,97,25732
8657,4132,45,1438
4865,668,16,41056
19136,4282,51,46311
15121,2898,95,5401
10186,2624,90,45483
18792,473,21,22239
2393,2413,1,22241
7616,3061,64,15674
26994,1835,53,15840
1725,4194,10,47596
20338,1970,67,39272
7309,2272,56,10711
25213,2905,8,18798
21001,3157,55,42993
23036,1839,74,4023
2443,2585,21,5704
17772,2044,36,43305
618,4287,13,11779
205,2997,46,32719
825,1058,69,49073
25032,1169,75,28957
11207,4276,88,15325
2355,3694,68,35671
29699,4885,88,13424
15498,247,52,38948
27874,3013,42,2645
660,1916,80,46633
23075,3191,53,14012
26855,2489,52,13204
13449,2372,15,20375
10987,2994,51,4658
28941,2756,100,46537
12352,4115,71,18744
13657,4281,39,36038
9966,4461,10,30748
806,1082,82,2641
29699,613,28,24050
17741,2512,32,35004
1686,693,42,28594
22369,1402,17,25209
16014,4850,98,39758
4405,2769,28,19059
19948,2525,51,36608
22546,766,35,18126
25410,4125,6,7385
13342,4221,2,32177
19575,1697,20,37843
21872,4229,37,31105
14328,1531,72,26610
26226,3224,90,15833
27149,3039,51,22237
23789,2663,46,31195
26876,302,38,29482
10603,4904,12,46944
3725,397,19,28447
1251,695,17,10788
14675,1787,41,7764
5739,1420,41,32427
7736,580,77,6071
24349,4250,63,18659
3043,2483,44,5544
20471,364,62,49766
10597,4102,38,29972
24053,3147,23,43522
14926,4413,30,37977
4666,1939,96,30990
19117,13,12,30471
7199,4014,88,38200
22551,3744,75,18527
25254,1453,69,27570
14754,1104,54,16998
22562,3248,45,13133
4816,1138,41,21706
22363,4821,70,17370
21108,3071,78,23079
10959,2540,31,40670
1097,3548,31,47591
2112,1449,19,21011
13757,2200,24,8259
26447,4835,42,28590
9410,3624,44,46912
13272,366,92,9753
12091,1362,35,6850
23241,340,47,30862
2053,4195,59,22484
7497,1861,49,38773
21275,2752,60,23973
9901,833,50,4083
360,3322,47,45724
13167,2988,49,19318
14154,4893,8,27636
12155,2761,16,32014
23092,1942,58,45047
16891,4182,39,24400
100,3578,91,27133
27851,209,73,12460
8574,2315,38,47619
4627,4184,10,45307
12216,839,99,14417
7660,1412,62,34791
28598,1299,68,47231
18218,609,4,17672
27178,2210,85,21012
16273,4702,75,28768
22901,360,93,23414
16453,828,36,45733
12059,2395,98,11971
12421,257,43,5862
25008,127,58,33198
20555,2409,14,20446
23868,515,35,16582
20055,2685,77,38186
23346,2524,49,29676
1662,3280,54,20698
16944,4856,71,6952
3058,4807,30,13719
9877,1718,79,16663
8459,2087,26,36306
4268,1169,45,9731
21953,672,73,9671
283,3796,58,45383
5650,4027,93,18322
21582,3479,77,23879
18491,3379,52,42963
21468,2915,92,15916
12845,3726,81,40091
14299,221,43,43683
20601,3251,15,19054
6742,1710,63,15253
24903,4563,45,19133
3934,703,66,3746
24630,2755,31,47753
110,2947,3,17787
