order_id,amount,payment_method
5174,1004,Credit Card
7921,10242,Cash on Delivery
11060,7073,GCash
8562,33839,Credit Card
475,16488,GCash
27694,22739,Credit Card
1465,34124,GCash
3586,30764,GCash
9021,48955,Cash on Delivery
13422,3936,Cash on Delivery
12095,43138,Credit Card
23132,15402,GCash
18647,48768,Cash on Delivery
23445,2521,GCash
8729,49368,Credit Card
26463,43607,Cash on Delivery
10586,37768,GCash
14972,12677,Credit Card
25525,4269,Cash on Delivery
10464,36782,Cash on Delivery
13631,44696,Credit Card
1761,32293,Credit Card
19354,46258,Credit Card
3957,43548,Cash on Delivery
26718,32086,Credit Card
1293,9985,GCash
3713,48019,Cash on Delivery
19855,4019,Credit Card
15251,22698,Cash on Delivery
16359,7283,Cash on Delivery
2410,15434,Cash on Delivery
18929,17464,Cash on Delivery
20855,37736,Credit Card
14374,25238,Cash on Delivery
24803,13082,Credit Card
28634,23745,Credit Card
29566,30530,Cash on Delivery
2725,19554,GCash
7564,37466,GCash
24740,43577,Cash on Delivery
9541,1493,Cash on Delivery
24738,8579,Credit Card
20853,30447,Cash on Delivery
12618,12741,GCash
23248,45771,GCash
20274,3840,GCash
15142,26584,GCash
5712,3711,Cash on Delivery
21134,34204,Credit Card
11881,19674,Cash on Delivery
12621,6433,GCash
22677,31508,Credit Card
13106,21547,Credit Card
26075,31572,Cash on Delivery
27674,13683,GCash
18687,46202,Cash on Delivery
984,2393,Credit Card
15483,13609,Credit Card
6181,334,Credit Card
19907,49272,Cash on Delivery
15367,24063,Credit Card
24099,43952,Cash on Delivery
4581,15236,GCash
17971,40309,GCash
13522,26677,Cash on Delivery
14890,12487,Cash on Delivery
24657,28967,GCash
18320,28860,Credit Card
9781,11533,Credit Card
6058,29389,Cash on Delivery
24358,38982,Cash on Delivery
15241,47853,Credit Card
3479,30963,GCash
27435,21965,GCash
14561,2969,GCash
6803,16778,Credit Card
17647,44915,Cash on Delivery
23373,15148,Cash on Delivery
25418,44824,Cash on Delivery
14738,16624,Cash on Delivery
8773,5901,Credit Card
18921,6992,Credit Card
14947,3119,Cash on Delivery
3908,14563,Cash on Delivery
9255,7699,Cash on Delivery
24322,24773,Credit Card
15109,49839,Cash on Delivery
682,7884,Credit Card
12148,14129,GCash
21490,16650,Credit Card
10623,32953,Credit Card
24694,45605,Credit Card
24047,27871,GCash
12208,16780,Credit Card
14633,31294,Credit Card
9209,34642,Credit Card
11824,6169,Credit Card
11760,2144,GCash
21185,15751,Cash on Delivery
27105,15930,GCash
5244,37825,Cash on Delivery
21361,40357,Cash on Delivery
18308,34430,Cash on Delivery
17764,23762,Credit Card
3573,27547,GCash
1794,21990,Credit Card
8772,1968,Cash on Delivery
10450,3995,Cash on Delivery
8185,32554,Credit Card
20847,22091,Credit Card
18587,4752,Cash on Delivery
10253,27430,Cash on Delivery
18153,26977,Cash on Delivery
12491,14363,GCash
3812,30668,Cash on Delivery
12969,6973,Credit Card
1926,36462,GCash
11268,48180,Credit Card
5366,25377,Credit Card
17775,20548,Credit Card
1879,21373,GCash
24180,36261,GCash
7181,9879,Credit Card
782,36621,Credit Card
25880,40587,Cash on Delivery
12977,22004,Credit Card
24913,17003,GCash
14916,22840,GCash
4544,28268,GCash
13761,41504,Cash on Delivery
2225,47576,Cash on Delivery
4816,1098,Credit Card
11473,27672,Credit Card
2762,48154,GCash
26054,7142,Cash on Delivery
329,18247,Cash on Delivery
19884,30940,Cash on Delivery
11157,44391,Credit Card
15513,213,Credit Card
11640,33712,GCash
11414,25701,Cash on Delivery
5294,33813,Credit Card
12807,23586,GCash
22793,48429,Credit Card
24768,8322,GCash
16904,47627,GCash
1274,8098,Credit Card
16548,38096,Cash on Delivery
24070,41503,Credit Card
5924,272,Credit Card
21381,6272,GCash
22383,7778,GCash
18022,32180,Credit Card
253,6279,GCash
24332,9315,Cash on Delivery
9146,22809,Cash on Delivery
9238,32011,Cash on Delivery
17334,4424,GCash
24500,46920,Credit Card
7006,24768,Cash on Delivery
25460,49886,GCash
17056,14086,Credit Card
29393,9011,Cash on Delivery
18112,26686,GCash
21176,15701,Credit Card
3879,27269,Credit Card
17878,4306,Cash on Delivery
10392,16827,Credit Card
10909,23505,Credit Card
22588,44760,Cash on Delivery
1075,23858,GCash
17807,14577,Credit Card
21453,47772,GCash
28999,8408,Cash on Delivery
21751,24917,Credit Card
10563,33651,GCash
25684,610,Credit Card
2949,8899,Credit Card
29519,32979,Credit Card
260,31776,GCash
28067,3428,GCash
2155,27215,GCash
2773,25101,Credit Card
16058,36662,Credit Card
20007,38753,Cash on Delivery
424,28032,Cash on Delivery
9604,3847,GCash
173,11725,Cash on Delivery
20034,45783,GCash
26468,28532,Cash on Delivery
7839,11499,Credit Card
28905,22790,Cash on Delivery
24004,3958,GCash
10018,32860,Credit Card
19366,17530,Credit Card
14506,25696,Credit Card
14182,18140,Credit Card
23159,35305,Cash on Delivery
20691,38269,Cash on Delivery
20242,20910,GCash
10814,43906,Cash on Delivery
26345,20054,Cash on Delivery
24098,49988,Cash on Delivery
27355,18603,Cash on Delivery
23463,19186,Cash on Delivery
16457,11487,Cash on Delivery
17811,8915,GCash
3304,49423,Credit Card
27560,3138,GCash
3734,38835,GCash
2579,23312,Cash on Delivery
26456,2599,GCash
28782,47067,Credit Card
16024,28385,Credit Card
20930,4646,Credit Card
20044,470,Credit Card
2747,22559,GCash
4193,27355,Cash on Delivery
507,45645,Credit Card
8942,48493,Cash on Delivery
17505,11918,Credit Card
4051,13358,Credit Card
22357,28307,Credit Card
20543,35914,GCash
18613,13983,GCash
5427,26331,GCash
24800,23116,GCash
2046,16094,GCash
13055,21804,Cash on Delivery
24814,35381,GCash
3216,25567,Cash on Delivery
6092,44496,GCash
21492,2536,Credit Card
8778,25301,GCash
19142,27788,Cash on Delivery
10293,21255,Cash on Delivery
7236,931,GCash
18503,29004,GCash
27963,7602,Credit Card
2055,11252,Cash on Delivery
28741,26539,GCash
2132,8629,Cash on Delivery
27802,6628,Credit Card
3290,42936,GCash
19291,2554,Credit Card
22940,9092,GCash
5984,8108,GCash
23801,9768,Cash on Delivery
8942,40672,Credit Card
22526,47808,GCash
20628,35507,Cash on Delivery
24779,28530,Cash on Delivery
9244,49139,Credit Card
28816,9538,GCash
19331,15610,GCash
2158,665,Credit Card
5202,10170,GCash
5985,20672,GCash
21807,23127,GCash
24388,49123,Cash on Delivery
23598,4740,Cash on Delivery
28966,23616,GCash
7357,38030,Cash on Delivery
25458,19157,Credit Card
20998,46893,GCash
26253,29501,Credit Card
6261,22427,Credit Card
1739,7801,Credit Card
7886,14282,Credit Card
7938,41513,Credit Card
24173,24144,Cash on Delivery
14320,7078,Credit Card
10290,26136,Cash on Delivery
362,23098,Credit Card
7511,26121,GCash
7055,47879,Cash on Delivery
24903,22461,GCash
15737,21021,Credit Card
17002,32949,Cash on Delivery
19170,38445,Cash on Delivery
10322,32551,GCash
8330,28967,GCash
8745,37632,Cash on Delivery
29402,23819,Credit Card
13152,23105,Credit Card
18620,7910,GCash
7737,40629,GCash
28186,32244,Credit Card
6394,39226,Cash on Delivery
2026,47303,Credit Card
6873,17433,Credit Card
246,828,Credit Card
2405,18357,Cash on Delivery
28573,26109,Credit Card
7733,34979,Cash on Delivery
29665,31247,GCash
19126,16684,GCash
29701,21880,GCash
145,38521,GCash
15236,2992,Credit Card
1758,47832,Credit Card
14586,968,GCash
12027,22480,GCash
1712,46986,Cash on Delivery
13284,31833,GCash
11361,44457,GCash
1336,24683,Cash on Delivery
26016,1938,Credit Card
12441,5521,Credit Card
19648,3610,Credit Card
11981,7534,Cash on Delivery
26430,15083,GCash
26683,29724,GCash
8032,17888,Cash on Delivery
24617,46763,Cash on Delivery
22651,45991,Credit Card
22183,34976,Credit Card
7611,16880,Cash on Delivery
25261,38258,Cash on Delivery
26128,9539,GCash
14271,23275,Cash on Delivery
26109,39745,Cash on Delivery
3733,3606,GCash
13420,31151,GCash
15366,30817,GCash
21572,11266,GCash
1664,18705,Cash on Delivery
937,16809,Credit Card
148,32694,Credit Card
20027,40604,GCash
26062,28684,GCash
26926,21152,Credit Card
8038,24650,Cash on Delivery
19349,24982,Credit Card
24210,32950,Credit Card
3788,37210,Credit Card
20914,27434,Cash on Delivery
22595,15217,GCash
22399,16861,Cash on Delivery
26651,45245,Cash on Delivery
26229,26475,GCash
2327,27724,GCash
28598,40313,Cash on Delivery
27196,9516,Cash on Delivery
